LATITUDE,LONGITUDE,day_of_week,hour,cluster
-3.7675253472751424,-38.529097058575246,0,18,5
-3.7675253472751424,-38.529097058575246,0,15,5
-3.7769494976062217,-38.62387965513447,2,14,1
-3.802588573210727,-38.51655294469299,2,8,4
-3.7974267313466137,-38.57621854066912,0,10,2
-3.734133654802252,-38.590968369918194,0,19,0
-3.734133654802252,-38.590968369918194,4,13,0
-3.718786636114706,-38.55961527293998,1,11,0
-3.7182431155363593,-38.59236432119633,2,9,0
-3.7230807631180887,-38.53564270131829,3,14,0
-3.7449654663953456,-38.52369033302203,0,8,5
-3.763872518879543,-38.54318851924704,4,15,5
-3.790019301555288,-38.60791415308172,4,9,1
-3.7238166244357,-38.46625359398575,2,8,5
-3.771859706289901,-38.575828202832106,2,9,2
-3.882819001460493,-38.61656157352083,0,10,3
-3.767935592032897,-38.52926239083351,3,7,5
-3.767935592032897,-38.52926239083351,4,14,5
-3.767935592032897,-38.52926239083351,2,7,5
-3.72775885891488,-38.52101281840372,1,23,5
-3.8471874465623137,-38.52594696905884,1,9,4
-3.81008350567728,-38.57431990911402,2,13,2
-3.81008350567728,-38.57431990911402,3,10,2
-3.7086189589228926,-38.55664924259998,2,9,0
-3.764256070466712,-38.53727120782985,0,12,5
-3.806397198700795,-38.57141184881189,1,9,2
-3.717094874486248,-38.56476935615117,4,14,0
-3.829866732108692,-38.473212220517176,2,10,4
-3.7151243264826848,-38.571951587639305,5,10,0
-3.805106074008094,-38.58701411878278,0,13,2
-3.711965448065627,-38.59298345568819,2,9,0
-3.874135586411673,-38.61755952502689,4,13,3
-3.847163310976336,-38.52365360399631,2,16,4
-3.734153992696478,-38.50203962311751,3,12,5
-3.892289435527254,-38.60841287739225,0,10,3
-3.758257597121645,-38.50750753408798,4,8,5
-3.727293498447624,-38.51722251159856,3,19,5
-3.862045686004021,-38.49404684461604,6,11,4
-3.767525027110622,-38.54862352885225,1,18,0
-3.8340762134874615,-38.55193124468408,4,19,2
-3.7657379021299935,-38.6190966518867,4,12,1
