LATITUDE,LONGITUDE,day_of_week,hour,cluster
-3.743475480029803,-38.56680751626619,5,5,0
-3.741369896732458,-38.46404092847924,6,17,5
-3.741369896732458,-38.46404092847924,6,13,5
-3.833574869487297,-38.493991399196055,2,16,4
-3.830443749658452,-38.58005256056106,0,12,2
-3.8139061981125306,-38.57959031601847,0,11,2
-3.866777304184464,-38.62125699315733,0,9,3
-3.791732731095952,-38.48167304481917,2,10,5
-3.734606089035197,-38.54024347638597,5,9,0
-3.7673216232903024,-38.529059427753,3,9,5
-3.7428702210665534,-38.53911567890426,2,13,0
-3.756527436744246,-38.53777947916896,1,11,5
-3.7465287681875328,-38.54197270834396,4,6,0
-3.871357402544778,-38.62460450201885,4,14,3
-3.773088548646754,-38.49394194704613,3,13,5
-3.8014350873323055,-38.547765423322055,0,10,2
-3.775342693324822,-38.55703918743623,5,14,2
-3.751871618708296,-38.61160736169099,4,10,1
-3.7667174913360815,-38.656595342981774,3,8,1
-3.72458743077338,-38.541998307496456,3,11,0
-3.7210270623209936,-38.593055544338384,1,13,0
-3.738107920417553,-38.516190714366,3,13,5
-3.857839097747061,-38.50121934092176,1,12,4
-3.8981922607807657,-38.62286678929576,1,13,3
-3.8981922607807657,-38.62286678929576,1,14,3
-3.8834118058593545,-38.616276512421166,2,13,3
-3.735160331830076,-38.52213509822945,4,14,5
-3.72861044808726,-38.50228310152991,5,11,5
-3.763060681438687,-38.62829633663873,2,10,1
-3.876924479276928,-38.58908692831383,2,15,3
-3.799306041796476,-38.4623516689494,4,9,4
-3.887413541306264,-38.61236505049504,4,9,3
-3.887413541306264,-38.61236505049504,3,14,3
-3.765376481663433,-38.64619831927981,1,15,1
-3.72939761620226,-38.52028863387637,0,10,5
-3.773995557881484,-38.60616447675738,2,15,1
-3.7965940562668,-38.58903298147602,4,13,2
-3.7278031622174574,-38.60470380035555,3,11,0
-3.8492246923725695,-38.515925906454775,1,11,4
-3.8483115584466856,-38.48109221472095,1,7,4
-3.795159111098853,-38.58330587928458,3,15,2
-3.763573701311453,-38.57682882803941,5,10,0
-3.763573701311453,-38.57682882803941,4,15,0
-3.7329120441860777,-38.55573334378121,1,9,0
-3.737588408575127,-38.5680091051131,0,9,0
-3.847842336663697,-38.5195224437039,4,13,4
-3.802186248841445,-38.5077872065154,1,10,4
-3.746401361056779,-38.54185785328821,0,9,0
-3.746401361056779,-38.54185785328821,4,11,0
-3.788745253701462,-38.58152726714378,3,8,2
-3.697067336092216,-38.58240753963052,6,8,0
