cluster,day_of_week,hour,qtd_pedidos
1,0,6,1.631578947368421
1,0,7,3.75
1,0,8,8.68421052631579
1,0,9,7.666666666666667
1,0,10,7.3076923076923075
1,0,11,6.105263157894737
1,0,12,4.676470588235294
1,0,13,4.594594594594595
1,0,14,4.756756756756757
1,0,15,5.131578947368421
1,0,16,4.333333333333333
1,0,17,3.108108108108108
1,0,18,2.0
1,0,19,1.52
1,0,20,1.1111111111111112
1,0,21,1.2
1,0,22,1.375
1,0,23,1.0
1,1,1,1.0
1,1,2,1.0
1,1,3,1.0
1,1,4,1.0
1,1,5,1.8571428571428572
1,1,6,1.7647058823529411
1,1,7,4.382352941176471
1,1,8,7.54054054054054
1,1,9,7.102564102564102
1,1,10,7.605263157894737
1,1,11,6.648648648648648
1,1,12,4.081081081081081
1,1,13,4.583333333333333
1,1,14,4.833333333333333
1,1,15,4.833333333333333
1,1,16,4.594594594594595
1,1,17,3.2
1,1,18,1.9615384615384615
1,1,19,1.75
1,1,20,1.3125
1,1,21,1.25
1,1,22,1.0
1,1,23,1.0
1,2,0,1.0
1,2,1,1.0
1,2,5,1.125
1,2,6,1.8181818181818181
1,2,7,3.973684210526316
1,2,8,8.81578947368421
1,2,9,7.973684210526316
1,2,10,7.435897435897436
1,2,11,5.3076923076923075
1,2,12,4.194444444444445
1,2,13,5.138888888888889
1,2,14,5.076923076923077
1,2,15,4.628571428571429
1,2,16,4.378378378378378
1,2,17,3.0277777777777777
1,2,18,1.8064516129032258
1,2,19,1.5217391304347827
1,2,20,1.5
1,2,21,1.2
1,2,22,1.4
1,2,23,1.0
1,3,0,1.2
1,3,1,1.0
1,3,2,1.0
1,3,3,1.0
1,3,4,1.3333333333333333
1,3,5,1.375
1,3,6,1.894736842105263
1,3,7,3.864864864864865
1,3,8,8.794871794871796
1,3,9,8.051282051282051
1,3,10,6.282051282051282
1,3,11,5.894736842105263
1,3,12,3.823529411764706
1,3,13,4.972972972972973
1,3,14,5.297297297297297
1,3,15,4.27027027027027
1,3,16,4.0
1,3,17,2.742857142857143
1,3,18,1.9090909090909092
1,3,19,1.5384615384615385
1,3,20,1.5384615384615385
1,3,21,1.2222222222222223
1,3,22,1.1428571428571428
1,3,23,1.2
1,4,5,1.5
1,4,6,2.0526315789473686
1,4,7,4.447368421052632
1,4,8,7.461538461538462
1,4,9,6.538461538461538
1,4,10,6.473684210526316
1,4,11,5.081081081081081
1,4,12,3.4615384615384617
1,4,13,4.324324324324325
1,4,14,4.944444444444445
1,4,15,4.45945945945946
1,4,16,4.025
1,4,17,2.8529411764705883
1,4,18,1.6818181818181819
1,4,19,1.368421052631579
1,4,20,1.2272727272727273
1,4,21,1.1428571428571428
1,4,22,1.0
1,4,23,1.1428571428571428
1,5,0,1.0
1,5,1,1.0
1,5,2,1.0
1,5,4,1.0
1,5,5,1.0
1,5,6,1.5333333333333334
1,5,7,2.3333333333333335
1,5,8,4.121212121212121
1,5,9,3.4857142857142858
1,5,10,3.7142857142857144
1,5,11,2.8484848484848486
1,5,12,2.65625
1,5,13,2.2903225806451615
1,5,14,1.8333333333333333
1,5,15,1.8928571428571428
1,5,16,2.269230769230769
1,5,17,1.52
1,5,18,1.3125
1,5,19,1.2222222222222223
1,5,20,1.6153846153846154
1,5,21,1.3
1,5,22,1.125
1,5,23,1.0
1,6,0,1.0
1,6,1,1.0
1,6,5,1.0
1,6,6,1.6428571428571428
1,6,7,1.7037037037037037
1,6,8,2.125
1,6,9,2.28125
1,6,10,1.9142857142857144
1,6,11,1.9310344827586208
1,6,12,1.5294117647058822
1,6,13,1.2
1,6,14,1.6470588235294117
1,6,15,1.25
1,6,16,1.6666666666666667
1,6,17,1.4375
1,6,18,1.0909090909090908
1,6,19,1.2307692307692308
1,6,20,1.2307692307692308
1,6,21,1.2777777777777777
1,6,22,1.4545454545454546
1,6,23,1.0
2,0,0,1.0
2,0,2,2.0
2,0,4,1.25
2,0,5,1.1666666666666667
2,0,6,2.2
2,0,7,3.638888888888889
2,0,8,11.153846153846153
2,0,9,8.871794871794872
2,0,10,7.17948717948718
2,0,11,5.578947368421052
2,0,12,4.885714285714286
2,0,13,4.942857142857143
2,0,14,5.256410256410256
2,0,15,5.2105263157894735
2,0,16,4.486486486486487
2,0,17,3.9210526315789473
2,0,18,1.9428571428571428
2,0,19,1.8333333333333333
2,0,20,1.5263157894736843
2,0,21,1.2857142857142858
2,0,22,1.6
2,0,23,1.4
2,1,0,1.0
2,1,1,1.0
2,1,2,1.0
2,1,3,1.0
2,1,4,1.0
2,1,5,1.5
2,1,6,2.36
2,1,7,3.972972972972973
2,1,8,10.35897435897436
2,1,9,8.63888888888889
2,1,10,6.333333333333333
2,1,11,5.684210526315789
2,1,12,4.216216216216216
2,1,13,4.27027027027027
2,1,14,5.052631578947368
2,1,15,4.684210526315789
2,1,16,4.552631578947368
2,1,17,3.7837837837837838
2,1,18,2.3793103448275863
2,1,19,1.76
2,1,20,1.3846153846153846
2,1,21,1.1764705882352942
2,1,22,1.1666666666666667
2,1,23,1.2857142857142858
2,2,0,1.0
2,2,2,2.0
2,2,4,1.0
2,2,5,1.2
2,2,6,2.5833333333333335
2,2,7,3.5428571428571427
2,2,8,9.179487179487179
2,2,9,8.64102564102564
2,2,10,6.631578947368421
2,2,11,5.2894736842105265
2,2,12,4.6923076923076925
2,2,13,4.564102564102564
2,2,14,4.897435897435898
2,2,15,4.128205128205129
2,2,16,4.486486486486487
2,2,17,3.473684210526316
2,2,18,1.8125
2,2,19,2.238095238095238
2,2,20,1.5
2,2,21,1.3846153846153846
2,2,22,1.2
2,2,23,1.0
2,3,0,1.0
2,3,1,1.0
2,3,4,1.0
2,3,5,1.6
2,3,6,1.92
2,3,7,4.131578947368421
2,3,8,9.076923076923077
2,3,9,8.076923076923077
2,3,10,7.0256410256410255
2,3,11,5.026315789473684
2,3,12,3.411764705882353
2,3,13,4.351351351351352
2,3,14,4.17948717948718
